model,topic_id,word,weight
LDA,0,time,0.056865494698286057
LDA,0,excellent,0.034342218190431595
LDA,0,take,0.03117419220507145
LDA,0,problem,0.027834055945277214
LDA,0,worst_ever,0.027743380516767502
LDA,0,pin,0.02535158582031727
LDA,0,loading,0.021034477278590202
LDA,0,user,0.020481226965785027
LDA,0,experience,0.019619295373558998
LDA,0,money,0.01936463825404644
LDA,1,please,0.04720154032111168
LDA,1,slow,0.041522566229104996
LDA,1,phone,0.0377909354865551
LDA,1,open,0.03209714964032173
LDA,1,time,0.02508813515305519
LDA,1,update,0.023775329813361168
LDA,1,work,0.023246528580784798
LDA,1,developer_option,0.022827869281172752
LDA,1,bank,0.021766837686300278
LDA,1,fix,0.021369371563196182
LDA,2,work,0.05252128839492798
LDA,2,like,0.04629308357834816
LDA,2,working,0.0379059873521328
LDA,2,service,0.03132525458931923
LDA,2,update,0.0263751782476902
LDA,2,great,0.02617132104933262
LDA,2,fast,0.024885816499590874
LDA,2,transaction,0.02472034841775894
LDA,2,need,0.02352590672671795
LDA,2,feature,0.02135399542748928
LDA,3,best,0.17380847036838531
LDA,3,nice,0.08576323091983795
LDA,3,dashen,0.030773287639021873
LDA,3,boa,0.030455846339464188
LDA,3,cbe,0.02995138242840767
LDA,3,easy,0.028214190155267715
LDA,3,keep,0.027756093069911003
LDA,3,always,0.02724701352417469
LDA,3,mode,0.01962888613343239
LDA,3,dashen_super,0.01949104107916355
LDA,4,account,0.049630649387836456
LDA,4,amazing,0.04523976519703865
LDA,4,ethiopia,0.04451308771967888
LDA,4,love,0.02726123295724392
LDA,4,thank,0.02685677818953991
LDA,4,wow,0.02678929828107357
LDA,4,cbe,0.024053603410720825
LDA,4,ever,0.019972454756498337
LDA,4,easy,0.019399413838982582
LDA,4,dashen,0.018062781542539597
NMF,0,best,2.5647733086458824
NMF,0,ethiopia,0.19200234828985194
NMF,0,ever,0.11538007595907726
NMF,0,dashen,0.08689781326330219
NMF,0,financial,0.08307391291729567
